seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	DDq0	DDq1	DDq2	DDq3	DDq4	DDq5	
45	1573229628.894683384	-1.23756	-2.10803	-1.72013	-1.56848	0.603209	0.734916	0.0250256	0.0249085	0.0263578	0.0248165	0.0245169	0.0258933	0.0256042	68.2102	31.0981	2.25343	-0.591829	0.244169	0.0391267	0.036794	0.0331109	0.0174172	0.0341562	0.0363165	
46	1573229628.902662609	-1.23743	-2.1079	-1.71999	-1.56835	0.603341	0.735052	0.0249558	0.0248165	0.0262405	0.0246248	0.0244437	0.0258092	0.015945	68.2131	31.1078	2.2578	-0.587312	0.246894	0.038057	0.0352025	0.0377197	0.0260091	0.0377754	0.0417944	
47	1573229628.910706820	-1.2373	-2.10777	-1.71985	-1.56822	0.603475	0.735189	0.0248693	0.0247342	0.0261636	0.0244491	0.0244037	0.0257188	0.0146043	68.1942	31.1043	2.25837	-0.587819	0.24619	0.0381156	0.0374002	0.0434599	0.018719	0.0373041	0.0347864	
48	1573229628.918820026	-1.23716	-2.10764	-1.7197	-1.56808	0.603607	0.735327	0.0248105	0.0246414	0.0261631	0.0243449	0.0243065	0.0256331	-0.00134978	68.2073	31.1179	2.25852	-0.584149	0.24993	0.0363928	0.0329912	0.0467459	0.0389984	0.0296217	0.0379449	
49	1573229628.926666898	-1.23702	-2.10751	-1.71956	-1.56795	0.60374	0.735464	0.0247572	0.0245518	0.0260981	0.0242902	0.0242905	0.0255494	0.0147415	68.2207	31.1391	2.26323	-0.58343	0.24603	0.0371102	0.035493	0.0316566	0.0315377	0.0517989	0.036774	
50	1573229628.934676630	-1.23689	-2.10738	-1.71941	-1.56781	0.603877	0.735602	0.0246732	0.0244736	0.0260688	0.0242409	0.0243447	0.0254762	-0.00436537	68.208	31.1373	2.26496	-0.582183	0.249074	0.0339024	0.0342296	0.0446338	0.0366048	0.0408021	0.037625	
51	1573229628.942677122	-1.23676	-2.10724	-1.71927	-1.56767	0.604015	0.735739	0.0246064	0.0244103	0.0260063	0.0242109	0.0243315	0.0254376	0.0160961	68.2229	31.1567	2.26003	-0.588936	0.246274	0.0370274	0.0357468	0.025668	0.035385	0.035834	0.0442503	
52	1573229628.950680591	-1.23662	-2.10711	-1.71913	-1.56754	0.604152	0.735878	0.0245092	0.0243489	0.0258038	0.0241458	0.024333	0.0253914	0.00118149	68.241	31.1794	2.26743	-0.591393	0.241652	0.0255317	0.0355891	0.0170286	0.0287941	0.0447209	0.034626	
53	1573229628.958732737	-1.23649	-2.10697	-1.71899	-1.5674	0.604293	0.736018	0.024395	0.0243058	0.0256383	0.0240715	0.0243936	0.0253247	0.00377812	68.2209	31.1713	2.26677	-0.587657	0.244427	0.0312878	0.034597	0.0312281	0.0295413	0.0442416	0.0338762	
54	1573229628.966679789	-1.23635	-2.10684	-1.71885	-1.56726	0.604435	0.736157	0.0243744	0.0242551	0.0254423	0.0240314	0.0244163	0.0252061	0.0457686	68.2326	31.1825	2.25073	-0.593824	0.241126	0.0455465	0.0334802	0.0129405	0.0341805	0.0358392	0.0262194	
