seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
1466	1580482324.088723979	0.0021991	-1.15927	2.12412	-2.52006	-1.56975	-2.62203	-0.000735154	-0.0792682	-0.0161365	0.092164	0.000282307	0.000325889	-15.5364	-69.576	-25.4803	0.044543	2.97816	2.26505	
1467	1580482324.096709325	0.00219351	-1.1599	2.12399	-2.51932	-1.56975	-2.62203	-0.000739033	-0.0792448	-0.0161989	0.0925387	0.000292011	0.000325128	-15.5364	-69.5557	-25.508	0.0471278	2.97958	2.26449	
1468	1580482324.104707421	0.0021881	-1.16053	2.12387	-2.51858	-1.56975	-2.62202	-0.000742326	-0.0792223	-0.0162576	0.0929163	0.000297679	0.00032778	-15.5364	-69.538	-25.5375	0.046994	2.97814	2.26509	
1469	1580482324.112726560	0.00218333	-1.16115	2.12374	-2.51783	-1.56975	-2.62202	-0.000743797	-0.0791962	-0.016317	0.0932636	0.000305577	0.000325136	-15.5361	-69.5153	-25.5629	0.0524238	2.98254	2.2633	
1470	1580482324.120643293	0.00217873	-1.16178	2.12361	-2.51708	-1.56974	-2.62202	-0.000744733	-0.0791694	-0.0164822	0.0934426	0.000314461	0.000325972	-15.5413	-69.4251	-25.56	0.0708668	3.00482	2.25458	
1471	1580482324.128679437	0.00217339	-1.16241	2.12348	-2.51634	-1.56974	-2.62201	-0.000747608	-0.0791395	-0.0166466	0.0935726	0.000321757	0.000325279	-15.5357	-69.4745	-25.6349	0.0577581	2.98694	2.26152	
1472	1580482324.136712736	0.00216914	-1.16303	2.12334	-2.51558	-1.56974	-2.62201	-0.000747451	-0.0790142	-0.0167116	0.0937073	0.000330044	0.000325542	-15.5117	-69.58	-25.7181	0.0604872	2.9852	2.26208	
1473	1580482324.144693931	0.00216323	-1.16366	2.12321	-2.51483	-1.56974	-2.62201	-0.000751709	-0.07879	-0.0167779	0.0937628	0.000338016	0.000326732	-15.5112	-69.5607	-25.7486	0.0604736	2.98492	2.26221	
1474	1580482324.152668776	0.00215842	-1.16428	2.12308	-2.51408	-1.56973	-2.62201	-0.000752898	-0.0786591	-0.0168403	0.0938227	0.000343192	0.000327603	-15.5349	-69.406	-25.717	0.0660578	2.99454	2.25844	
1475	1580482324.160670919	0.00215378	-1.1649	2.12294	-2.51332	-1.56973	-2.622	-0.000753557	-0.0786209	-0.0168161	0.0940931	0.000349355	0.000330622	-15.5316	-69.4501	-25.7765	0.0426852	2.96659	2.2696	
1476	1580482324.168699493	0.00214796	-1.16552	2.12281	-2.51256	-1.56973	-2.622	-0.000757373	-0.0785827	-0.0167937	0.0946561	0.000356519	0.000333264	-15.5375	-69.3838	-25.7757	0.0416628	2.96707	2.26976	
1477	1580482324.176661187	0.00214368	-1.16614	2.12268	-2.51179	-1.56973	-2.62199	-0.000756913	-0.0785471	-0.0168496	0.0953267	0.000363379	0.000333081	-15.5377	-69.3662	-25.8051	0.041397	2.96449	2.27082	
1478	1580482324.184666272	0.00213958	-1.16676	2.12255	-2.51101	-1.56972	-2.62199	-0.000755967	-0.0785168	-0.0167999	0.0960346	0.000368676	0.000333857	-15.5308	-69.4156	-25.8598	0.0368757	2.95295	2.27512	
1479	1580482324.192620395	0.00213654	-1.16739	2.12241	-2.51022	-1.56972	-2.62199	-0.000752106	-0.0784885	-0.0167511	0.0968092	0.000373717	0.000336756	-15.538	-69.3308	-25.8465	0.0406664	2.95866	2.27323	
1480	1580482324.200686280	0.00213274	-1.16801	2.12228	-2.50943	-1.56972	-2.62198	-0.000750315	-0.0784593	-0.0168064	0.0975943	0.000380985	0.000338062	-15.5376	-69.3088	-25.8718	0.0471721	2.96256	2.27164	
1481	1580482324.208678662	0.00212819	-1.16863	2.12215	-2.50863	-1.56971	-2.62198	-0.000750523	-0.0784285	-0.0168675	0.0982914	0.000386711	0.000340255	-15.537	-69.2867	-25.8971	0.054754	2.96777	2.26949	
1482	1580482324.216689572	0.00212382	-1.16925	2.12202	-2.50783	-1.56971	-2.62198	-0.000750234	-0.078405	-0.0169244	0.0988433	0.000392153	0.000343308	-15.5363	-69.2617	-25.9197	0.0650705	2.9763	2.266	
1483	1580482324.224685570	0.00212142	-1.16988	2.12188	-2.50703	-1.56971	-2.62197	-0.00074457	-0.0783792	-0.0169832	0.0991386	0.000394836	0.000344787	-15.5346	-69.2326	-25.9381	0.082587	2.99291	2.25917	
1484	1580482324.232689904	0.00211871	-1.1705	2.12175	-2.50622	-1.56971	-2.62197	-0.000739807	-0.0783555	-0.0170395	0.0992573	0.000403437	0.000347144	-15.5345	-69.2126	-25.9657	0.0831363	2.99305	2.25912	
