seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
25605	1580482312.048709449	0.00240508	-0.895078	2.13236	-2.79043	-1.56955	-2.62331	0	0	-0	0	0	0	3.94803	-84.0688	-23.4792	-11.2197	0.915408	-0.283005	
25606	1580482312.056686435	0.0023931	-0.895078	2.13236	-2.79041	-1.56956	-2.62327	0	0	-0	0	0	0	3.47154	-84.3116	-23.5042	-11.2436	0.890667	-0.102911	
25607	1580482312.064691110	0.0023931	-0.895089	2.13238	-2.79045	-1.56956	-2.62332	0	0	-0	0	0	0	3.87996	-83.826	-23.8285	-11.3388	0.915408	-0.154366	
25608	1580482312.072706374	0.0023931	-0.895102	2.1324	-2.79043	-1.56951	-2.6233	0	0	-0	0	0	0	4.22031	-83.826	-23.7038	-11.3388	0.766963	-0.128638	
25609	1580482312.080668132	0.00240508	-0.895089	2.13238	-2.79041	-1.56956	-2.62326	0	0	-0	0	0	0	4.28838	-84.0081	-23.5042	-11.1721	0.915408	-0.33446	
25610	1580482312.088689890	0.0023931	-0.895066	2.13238	-2.79044	-1.56954	-2.6233	0	0	-0	0	0	0	4.08417	-83.9474	-23.6289	-11.2436	0.865926	-0.205822	
25611	1580482312.096697061	0.00240508	-0.895042	2.13232	-2.79045	-1.56952	-2.6233	0	0	-0	0	0	0	4.28838	-83.7046	-23.579	-11.2674	0.915408	-0.102911	
25612	1580482312.104785143	0.00235715	-0.895078	2.13238	-2.79044	-1.56951	-2.6233	0	0	-0	0	0	0	4.22031	-83.9474	-23.5541	-11.2197	0.915408	-0.180094	
25613	1580482312.112682896	0.0023931	-0.895042	2.13242	-2.79041	-1.56952	-2.6233	0	0	-0	0	0	0	4.22031	-83.2797	-23.5042	-11.315	0.964889	-0.180094	
25614	1580482312.120694762	0.00241707	-0.895078	2.13236	-2.79045	-1.56952	-2.62329	0	0	-0	0	0	0	3.81189	-83.9474	-23.7537	-11.3388	0.940149	-0.385915	
25615	1580482312.128692090	0.00238112	-0.895102	2.13238	-2.79041	-1.56957	-2.62327	0	0	-0	0	0	0	4.0161	-83.826	-23.5541	-11.1721	0.915408	-0.154366	
25616	1580482312.136710564	0.00238112	-0.895078	2.13235	-2.79043	-1.56954	-2.6233	0	0	-0	0	0	0	4.56065	-83.9474	-23.7038	-11.3388	0.915408	-0.308732	
25617	1580482312.144683535	0.00236913	-0.895114	2.13236	-2.79043	-1.56954	-2.6233	0	0	-0	0	0	0	3.53961	-83.7046	-23.6289	-11.2197	0.890667	-0.385915	
25618	1580482312.152687579	0.0023931	-0.895078	2.13235	-2.79044	-1.56951	-2.6233	0	0	-0	0	0	0	3.87996	-84.1295	-23.5042	-11.3388	0.940149	-0.308732	
25619	1580482312.160683695	0.00238112	-0.895089	2.13236	-2.79041	-1.56956	-2.6233	0	0	-0	0	0	0	3.74382	-84.1295	-23.5541	-11.3627	0.964889	-0.283005	
25620	1580482312.168737524	0.00240508	-0.895078	2.13236	-2.79043	-1.56955	-2.62331	0	0	-0	0	0	0	4.15224	-83.9474	-23.6539	-11.315	0.940149	-0.257277	
25621	1580482312.176707927	0.00241707	-0.895066	2.13234	-2.79041	-1.56955	-2.62332	0	0	-0	0	0	0	3.1312	-83.4011	-23.7537	-11.1721	0.791704	-0.180094	
25622	1580482312.184643904	0.00240508	-0.895102	2.13238	-2.79044	-1.56952	-2.62329	0	0	-0	0	0	0	3.74382	-83.5225	-23.579	-11.1959	0.915408	-0.128638	
25623	1580482312.192646662	0.0023931	-0.895078	2.13237	-2.79043	-1.56951	-2.62331	0	0	-0	0	0	0	3.81189	-84.4937	-23.5042	-11.2436	0.915408	-0.231549	
25624	1580482312.200701294	0.00238112	-0.895054	2.13236	-2.7904	-1.56957	-2.62327	0	0	-0	0	0	0	4.28838	-84.3116	-23.5541	-11.2197	0.915408	-0.308732	
25625	1580482312.208678593	0.0023931	-0.895089	2.1324	-2.79045	-1.56955	-2.6233	0	0	-0	0	0	0	3.81189	-84.3723	-23.604	-11.1959	0.890667	-0.33446	
25626	1580482312.216690697	0.00236913	-0.895054	2.13236	-2.79039	-1.56956	-2.6233	0	0	-0	0	0	0	3.94803	-84.0688	-23.7038	-11.3627	0.890667	-0.257277	
25627	1580482312.224695859	0.00238112	-0.895078	2.13235	-2.7904	-1.56954	-2.62327	0	0	-0	0	0	0	4.56065	-84.2509	-23.5541	-11.2436	0.964889	-0.205822	
25628	1580482312.232747584	0.00238112	-0.895078	2.13237	-2.79045	-1.56958	-2.62333	0	0	-0	0	0	0	3.67575	-83.7046	-23.3794	-11.2912	0.940149	-0.283005	
25629	1580482312.240706682	0.0023931	-0.895089	2.13238	-2.79044	-1.56955	-2.62327	0	0	-0	0	0	0	3.1312	-84.2509	-23.7786	-11.2674	0.915408	-0.257277	
25630	1580482312.248700767	0.00240508	-0.895138	2.13235	-2.79044	-1.56955	-2.6233	0	0	-0	0	0	0	4.42452	-83.8867	-23.7287	-11.1721	0.890667	-0.102911	
25631	1580482312.256666895	0.00240508	-0.895078	2.13236	-2.79043	-1.56952	-2.62327	0	0	-0	0	0	0	3.94803	-83.7046	-23.6788	-11.2436	0.915408	-0.180094	
25632	1580482312.264698709	0.00240508	-0.895042	2.13238	-2.79043	-1.56952	-2.62333	0	0	-0	0	0	0	4.15224	-83.7046	-23.7038	-11.2436	0.964889	-0.257277	
25633	1580482312.272698587	0.00238112	-0.895066	2.1324	-2.79044	-1.56951	-2.62331	0	0	-0	0	0	0	3.74382	-84.3723	-23.5541	-11.2436	0.964889	-0.180094	
25634	1580482312.280673643	0.0023931	-0.895054	2.13236	-2.79044	-1.56956	-2.62327	0	0	-0	0	0	0	3.53961	-84.4937	-23.9034	-11.315	0.964889	-0.257277	
25635	1580482312.288668234	0.00238112	-0.895089	2.13235	-2.79041	-1.56954	-2.62331	0	0	-0	0	0	0	4.0161	-83.3404	-23.6289	-11.3627	0.915408	-0.257277	
25636	1580482312.296674280	0.00238112	-0.895078	2.13235	-2.79043	-1.56954	-2.62332	0	0	-0	0	0	0	4.62872	-84.2509	-23.6539	-11.1721	0.890667	-0.205822	
25637	1580482312.304669129	0.00241707	-0.895066	2.13237	-2.79043	-1.56952	-2.62331	0	0	-0	0	0	0	3.94803	-83.6439	-23.8784	-11.2674	0.964889	-0.283005	
25638	1580482312.312672740	0.0023931	-0.895054	2.13235	-2.79044	-1.56952	-2.62327	0	0	-0	0	0	0	4.42452	-83.9474	-23.6289	-11.3388	0.915408	-0.257277	
25639	1580482312.320693813	0.00238112	-0.895066	2.13235	-2.79043	-1.56952	-2.62327	0	0	-0	0	0	0	4.22031	-83.8867	-23.7287	-11.2912	0.940149	-0.180094	
25640	1580482312.328723097	0.0023931	-0.895078	2.13241	-2.79044	-1.56952	-2.6233	0	0	-0	0	0	0	3.53961	-84.3116	-23.5291	-11.2912	0.890667	-0.360188	
25641	1580482312.336690503	0.00236913	-0.895102	2.13236	-2.79045	-1.56956	-2.62325	0	0	-0	0	0	0	4.76486	-83.7653	-23.8036	-11.2912	0.940149	-0.180094	
25642	1580482312.344690082	0.0023931	-0.895066	2.13236	-2.7904	-1.56954	-2.62327	0	0	-0	0	0	0	4.28838	-83.8867	-23.7537	-11.1483	0.841186	-0.180094	
25643	1580482312.352676028	0.0023931	-0.895042	2.13242	-2.79043	-1.56955	-2.6233	0	0	-0	0	0	0	2.85892	-84.0081	-23.5291	-11.1721	0.890667	-0.231549	
25644	1580482312.360752229	0.0023931	-0.895089	2.13238	-2.79041	-1.56952	-2.62332	0	0	-0	0	0	0	3.47154	-83.826	-23.8285	-11.3865	0.98963	-0.308732	
25645	1580482312.368744982	0.00240508	-0.895078	2.13238	-2.79041	-1.56955	-2.62327	0	0	-0	0	0	0	4.28838	-84.433	-23.604	-11.1483	1.03911	-0.180094	
25646	1580482312.376709651	0.00240508	-0.895089	2.13235	-2.79043	-1.56956	-2.6233	0	0	-0	0	0	0	4.08417	-84.1295	-23.6539	-11.2436	0.915408	-0.257277	
25647	1580482312.384704023	0.00233318	-0.895102	2.13241	-2.79041	-1.56952	-2.62327	0	0	-0	0	0	0	3.47154	-83.826	-23.5541	-11.2674	0.841186	-0.205822	
25648	1580482312.392839386	0.00241707	-0.895066	2.13232	-2.79043	-1.56957	-2.6233	0	0	-0	0	0	0	4.22031	-84.3116	-23.7038	-11.2912	0.98963	-0.411643	
25649	1580482312.400720091	0.00236913	-0.895089	2.13234	-2.79045	-1.56954	-2.62327	0	0	-0	0	0	0	4.0161	-83.7653	-23.7287	-11.1959	0.964889	-0.128638	
25650	1580482312.408666070	0.00240508	-0.895078	2.13234	-2.79043	-1.56957	-2.62331	0	0	-0	0	0	0	4.49258	-84.1902	-23.9034	-11.2436	0.742223	-0.231549	
25651	1580482312.416684190	0.0023931	-0.895066	2.13234	-2.79046	-1.56952	-2.62326	0	0	-0	0	0	0	4.28838	-83.826	-23.4792	-11.315	0.98963	-0.205822	
25652	1580482312.424724936	0.00238112	-0.895066	2.13236	-2.7904	-1.56954	-2.62329	0	0	-0	0	0	0	3.81189	-83.826	-23.5541	-11.2674	0.98963	-0.283005	
25653	1580482312.432687319	0.0023931	-0.895102	2.13234	-2.79043	-1.56955	-2.62331	0	0	-0	0	0	0	3.47154	-83.7653	-23.7038	-11.2674	1.03911	-0.205822	
25654	1580482312.440703785	0.00240508	-0.895054	2.13238	-2.7904	-1.56955	-2.62326	0	0	-0	0	0	0	3.53961	-84.1295	-23.7038	-11.1959	0.890667	-0.283005	
25655	1580482312.448669259	0.0023931	-0.895078	2.1324	-2.79041	-1.56956	-2.62329	0	0	-0	0	0	0	3.40347	-84.6151	-23.579	-11.2912	0.915408	-0.205822	
25656	1580482312.456703361	0.00236913	-0.895089	2.13234	-2.79041	-1.56954	-2.62332	0	0	-0	0	0	0	3.67575	-84.0688	-23.4792	-11.2912	0.865926	-0.0771831	
25657	1580482312.464674097	0.00240508	-0.895089	2.13237	-2.79041	-1.56952	-2.62335	0	0	-0	0	0	0	4.35645	-83.7653	-23.6289	-11.1483	0.940149	-0.257277	
25658	1580482312.472698684	0.0023931	-0.895078	2.13232	-2.79041	-1.56952	-2.62327	0	0	-0	0	0	0	3.53961	-84.0081	-23.5291	-11.2197	0.816445	-0.180094	
25659	1580482312.480707801	0.00236913	-0.895054	2.13238	-2.79043	-1.56954	-2.62327	0	0	-0	0	0	0	4.62872	-84.6151	-23.4543	-11.2436	0.940149	-0.128638	
25660	1580482312.488697156	0.00241707	-0.895042	2.13238	-2.79043	-1.56955	-2.62331	0	0	-0	0	0	0	4.15224	-84.1295	-23.6289	-11.4103	1.01437	-0.205822	
25661	1580482312.496700436	0.00235715	-0.895066	2.13237	-2.79043	-1.56952	-2.62331	0	0	-0	0	0	0	4.22031	-84.1295	-23.7786	-11.1483	0.940149	-0.231549	
25662	1580482312.504702265	0.00241707	-0.895066	2.13231	-2.79041	-1.56955	-2.62327	0	0	-0	0	0	0	4.35645	-84.1902	-23.3295	-11.1483	0.915408	-0.180094	
25663	1580482312.512668834	0.00241707	-0.895102	2.13237	-2.79044	-1.56955	-2.62333	0	0	-0	0	0	0	4.35645	-84.0688	-23.6788	-11.2436	0.865926	-0.231549	
25664	1580482312.520875975	0.0023931	-0.895102	2.13242	-2.79045	-1.56954	-2.62329	0	0	-0	0	0	0	4.42452	-83.4011	-23.3794	-11.2674	0.865926	-0.257277	
25665	1580482312.528714288	0.00241707	-0.895054	2.13236	-2.79043	-1.56954	-2.62329	0	0	-0	0	0	0	4.08417	-84.1902	-23.579	-11.3388	0.865926	-0.257277	
25666	1580482312.536702887	0.0023931	-0.895114	2.1324	-2.79043	-1.56954	-2.62325	0	0	-0	0	0	0	4.42452	-84.1902	-23.579	-11.1959	0.964889	-0.0514554	
25667	1580482312.544738767	0.0023931	-0.895066	2.13234	-2.79043	-1.56951	-2.62332	0	0	-0	0	0	0	4.35645	-84.3723	-23.4543	-11.3388	0.890667	-0.205822	
25668	1580482312.552695875	0.0023931	-0.895114	2.13237	-2.79043	-1.56955	-2.62332	0	0	-0	0	0	0	4.35645	-84.1295	-23.5541	-11.2674	0.791704	-0.257277	
25669	1580482312.560682220	0.0023931	-0.895089	2.13238	-2.7904	-1.56955	-2.62327	0	0	-0	0	0	0	4.49258	-83.8867	-23.4792	-11.2674	0.816445	-0.154366	
25670	1580482312.568700053	0.00240508	-0.895078	2.13238	-2.79041	-1.56952	-2.62331	0	0	-0	0	0	0	4.15224	-83.7046	-23.7038	-11.2674	0.915408	-0.231549	
25671	1580482312.576700157	0.00241707	-0.895102	2.13238	-2.79041	-1.56957	-2.62326	0	0	-0	0	0	0	4.15224	-84.1295	-23.4293	-11.2436	0.816445	-0.205822	
25672	1580482312.584728268	0.00242905	-0.895102	2.13238	-2.79041	-1.56955	-2.6233	0	0	-0	0	0	0	3.60768	-83.4011	-23.3545	-11.315	0.865926	-0.231549	
25673	1580482312.592704480	0.0023931	-0.895066	2.13236	-2.79043	-1.56952	-2.6233	0	0	-0	0	0	0	3.19926	-84.2509	-23.6289	-11.1959	0.940149	-0.102911	
25674	1580482312.600690589	0.00235715	-0.895042	2.13236	-2.79044	-1.56955	-2.62327	0	0	-0	0	0	0	4.08417	-83.6439	-23.6539	-11.2436	0.890667	-0.231549	
