seq	time	fx	fy	fz	tx	ty	tz	
100	1580406961.614736496	27.0992	-4.88999	-1.31544	3.34393	6.69514	-5.25495	
101	1580406961.622672559	27.1032	-4.88972	-1.31677	3.34449	7.42399	-3.97767	
102	1580406961.630709536	20.2004	-8.51964	-5.19125	3.34518	4.58389	2.03384	
103	1580406961.638709316	18.6397	-3.60643	-9.32344	-1.17673	3.22951	2.13647	
104	1580406961.646723427	18.6455	-9.33381	-6.06009	3.34531	3.53517	2.66203	
105	1580406961.654742575	18.6446	-9.34062	-6.05814	3.34548	3.53556	2.66287	
106	1580406961.662696953	18.652	-9.33617	-6.06277	3.34441	3.53631	2.66238	
107	1580406961.670778173	27.1095	-4.89078	-1.31829	3.34544	9.25922	-0.76227	
108	1580406961.678746506	18.6539	-9.33709	-6.05949	3.34627	3.53774	2.6633	
109	1580406961.686735402	18.658	-9.34508	-6.05633	3.34728	3.53833	2.66419	
110	1580406961.694693346	25.3717	-5.82587	-2.28864	3.3471	8.08016	-0.0529174	
111	1580406961.702759015	18.6557	-9.35437	-6.05182	3.34721	3.53806	2.66593	
112	1580406961.710753607	-31.6168	4.11896	8.40697	3.3475	-0.157106	4.2924	
113	1580406961.718716313	-23.2062	8.53988	13.1253	3.34648	5.53547	0.886432	
114	1580406961.726684200	27.1128	-4.91383	-1.30902	3.34563	9.26048	-0.756782	
115	1580406961.734765396	27.1119	-4.91137	-1.30861	3.34528	9.26071	-0.756823	
116	1580406961.742724775	27.1161	-4.90945	-1.30873	3.34559	9.26162	-0.757033	
117	1580406961.750681281	27.1131	-4.90735	-1.30659	3.3446	9.26188	-0.756777	
118	1580406961.758694223	27.1129	-4.9068	-1.30915	3.34473	9.26121	-0.756969	
119	1580406961.766706692	18.6527	-9.35182	-6.0509	3.34454	3.53785	2.66755	
120	1580406961.774758584	18.6487	-9.34621	-6.05315	3.34486	3.5375	2.66794	
121	1580406961.782749414	27.1059	-4.90196	-1.31099	3.34518	9.26018	-0.756908	
122	1580406961.790739308	27.108	-4.90297	-1.31085	3.34482	9.25989	-0.756112	
123	1580406961.798844679	18.6483	-9.35795	-6.05099	3.34497	3.53654	2.6702	
124	1580406961.806734616	18.6506	-9.3538	-6.05378	3.34447	3.53617	2.66962	
125	1580406961.814748736	22.2553	-7.46282	-4.03623	3.34459	5.97276	1.21236	
126	1580406961.822705624	27.1117	-4.91275	-1.31025	3.34597	9.25968	-0.754433	
127	1580406961.830810511	27.1146	-4.91296	-1.31373	3.34626	9.25929	-0.754427	
128	1580406961.838761655	-23.268	47.8281	-9.29158	3.34665	3.46583	-2.73198	
129	1580406961.846679686	-23.2145	8.54113	13.1226	3.34614	5.53215	0.889486	
130	1580406961.854735252	-23.2168	8.54066	13.1218	3.34627	5.53121	0.889337	
131	1580406961.862753336	-23.2188	8.54001	13.1211	3.34611	5.53057	0.889336	
132	1580406961.870684250	-23.221	8.53735	13.1198	3.34623	5.53012	0.889721	
133	1580406961.878682609	-23.2701	8.50885	13.0908	3.34711	5.49616	0.90985	
134	1580406961.886735654	-23.2735	47.825	-9.28993	3.34768	3.46503	-2.73284	
135	1580406961.894790915	-31.7308	43.3785	-14.0322	3.34763	-2.25818	0.691998	
136	1580406961.902736534	-23.219	8.53658	13.1207	3.3479	5.53124	0.889132	
137	1580406961.910735627	-31.6748	4.09334	8.37998	3.34782	-0.190585	4.31274	
138	1580406961.918686959	-31.672	4.09015	8.37992	3.34751	-2.75328	-0.179471	
139	1580406961.926796266	-23.2155	8.53462	13.1262	3.34806	2.96996	-3.605	
140	1580406961.934752648	-23.2313	20.7105	6.17785	3.34702	2.32885	-4.72775	
141	1580406961.942685239	-23.2717	47.8236	-9.28602	3.34641	0.902618	-7.22762	
142	1580406961.950706247	-23.2178	8.54391	13.1248	3.34583	5.12435	0.172868	
143	1580406961.958764272	-23.2209	8.54269	13.1272	3.34483	2.96835	-3.60618	
144	1580406961.966699057	-23.2196	8.53838	13.1274	3.34549	2.96817	-3.60679	
145	1580406961.974707818	-23.2205	8.53583	13.1308	3.34604	2.96832	-3.60668	
146	1580406961.982687655	-23.2134	8.53569	13.1295	3.34545	2.96917	-3.60721	
147	1580406961.990724172	-23.2151	8.53509	13.128	3.34502	2.96851	-3.60719	
148	1580406961.998744533	-23.2107	8.53845	13.1247	3.34417	2.96898	-3.60798	
149	1580406962.006747697	-23.2178	14.2614	9.86026	-1.1768	2.66312	-4.13361	
150	1580406962.014704106	-23.2224	14.256	9.8605	-1.17681	2.66241	-4.13287	
151	1580406962.022834104	-23.2257	14.2574	9.86329	-1.17645	2.66202	-4.13343	
152	1580406962.030762939	23.8352	-0.910032	-6.39192	-1.177	4.18327	-4.45809	
153	1580406962.038691579	18.6347	-3.6425	-9.30659	-1.17637	0.665064	-2.35306	
154	1580406962.046703818	-8.99233	3.74064	-1.3792	-1.17546	-1.38048	-1.45064	
155	1580406962.054727640	-31.743	49.0946	-17.2793	-1.17523	-5.12703	-4.33158	
156	1580406962.062728188	22.7757	6.68965	-11.6275	-1.17615	3.04513	-4.78632	
157	1580406962.070745575	-31.7415	49.0998	-17.2862	-1.17671	-5.12801	-4.33216	
158	1580406962.078739685	-23.2818	53.5312	-12.5379	-1.17066	0.595188	-7.75623	
159	1580406962.086762903	-23.2765	49.2213	-10.0803	2.23184	0.825337	-7.36087	
160	1580406962.094738727	-23.276	47.8117	-9.27691	3.34531	0.900308	-7.23158	
161	1580406962.102775451	27.0511	34.3554	-23.7117	3.34546	4.62686	-8.87594	
162	1580406962.110732317	27.052	34.3533	-23.7114	3.34546	4.62706	-8.87644	
163	1580406962.118842553	18.5942	29.9112	-28.4536	3.34529	-1.09563	-5.45249	
164	1580406962.126762255	18.5948	29.9107	-28.4533	3.34476	-1.09583	-5.45304	
165	1580406962.134697533	18.5921	29.9132	-28.4539	3.34414	-1.09609	-5.45327	
166	1580406962.142712683	18.5902	29.9131	-28.4499	3.34448	-1.09594	-5.4532	
167	1580406962.150698290	18.5933	29.9176	-28.4492	3.3447	-1.09543	-5.45413	
168	1580406962.158704281	18.5906	29.9135	-28.4474	3.34529	-1.0958	-5.45316	
169	1580406962.166736875	-31.7322	43.3668	-14.0156	3.34576	-4.8223	-3.80924	
170	1580406962.174727831	-31.7337	43.3673	-14.014	3.34587	-4.82225	-3.80961	
171	1580406962.182780494	-31.7326	43.362	-14.0121	3.34597	-4.82233	-3.80963	
172	1580406962.190780150	-31.7317	43.369	-14.0121	3.34607	-2.25945	0.682269	
173	1580406962.198779856	-31.7421	49.091	-17.2752	-1.176	-2.56539	0.157859	
174	1580406962.206702804	-31.7433	49.0923	-17.2747	-1.17556	-2.56562	0.157536	
175	1580406962.214777811	-31.7424	49.0891	-17.2713	-1.1751	-2.5654	0.157641	
176	1580406962.222756062	-31.7455	49.0866	-17.272	-1.17475	-2.56679	0.158678	
177	1580406962.230696799	-31.745	49.082	-17.272	-1.17467	-2.56648	0.159468	
178	1580406962.238737056	-31.746	49.0805	-17.2704	-1.17481	-2.56703	0.159876	
179	1580406962.246732866	-31.7478	49.0848	-17.2715	-1.17507	-2.5674	0.159368	
180	1580406962.254695266	-31.7481	49.0885	-17.2721	-1.175	-2.56712	0.158946	
181	1580406962.262675362	-0.150901	45.7196	-20.9026	-1.17488	3.63433	-3.25839	
