seq	time	fx	fy	fz	tx	ty	tz	
90	1580406961.206722673	-2.8435	22.355	-9.40424	0.900609	1.96024	-2.57578	
91	1580406961.214683076	-1.96389	22.8993	-9.56169	1.15788	2.07969	-2.64544	
92	1580406961.222721795	-1.19506	21.4402	-9.65842	0.977795	2.06571	-2.65041	
93	1580406961.230745098	-2.53037	22.6809	-9.5139	0.952086	2.00639	-2.58092	
94	1580406961.238727427	-1.86138	22.6994	-10.2373	1.00351	1.98158	-2.52117	
95	1580406961.246686151	-2.42302	22.5518	-9.42544	0.926315	2.02499	-2.57499	
96	1580406961.254789901	-1.89559	21.9718	-9.65163	1.18361	1.98776	-2.62612	
97	1580406961.262755037	-3.35321	22.177	-9.02559	1.10643	1.94027	-2.58503	
98	1580406961.270724451	-2.85968	22.5116	-9.26911	1.15788	2.00809	-2.52507	
99	1580406961.278717672	-1.84873	21.9974	-9.41448	1.08069	2.03018	-2.55472	
100	1580406961.286778829	-2.68262	22.3799	-9.00187	1.28651	2.06749	-2.58954	
101	1580406961.294668554	-2.31007	21.6419	-9.01507	1.18361	2.04989	-2.54073	
102	1580406961.302714606	-2.95497	22.5175	-9.38909	1.02923	1.95046	-2.5844	
103	1580406961.310659775	-2.37548	21.8397	-8.8409	1.02926	2.20339	-2.4949	
104	1580406961.318712611	-1.7049	21.8891	-9.25263	0.874859	2.07997	-2.56464	
105	1580406961.326650435	-2.56381	22.4671	-9.47746	1.0807	1.96114	-2.59055	
106	1580406961.334695492	-2.02414	22.6864	-9.1558	1.05497	2.20588	-2.64788	
107	1580406961.342673012	-1.42415	22.0117	-9.72077	0.926329	2.12269	-2.53959	
108	1580406961.350701383	-2.11227	22.81	-9.44724	1.05497	2.07891	-2.57376	
109	1580406961.358691732	-2.86435	22.3142	-9.35799	1.08068	1.97392	-2.40647	
110	1580406961.366712871	-2.62651	22.3846	-9.44339	1.0035	2.0466	-2.23105	
111	1580406961.374704901	-2.96486	21.6549	-8.7896	1.08072	2.0417	-2.43996	
112	1580406961.382666806	-2.05853	22.1143	-8.97287	1.02924	2.16169	-2.64588	
113	1580406961.390729552	-1.89988	21.9066	-9.30005	0.977798	2.15515	-2.5262	
114	1580406961.398745870	-3.11723	21.8088	-8.80516	0.926332	1.97941	-2.47639	
115	1580406961.406687903	-2.56566	22.831	-9.42383	1.05498	2.06472	-2.59489	
116	1580406961.414789473	-2.78699	21.7269	-8.90499	1.2608	2.02828	-2.44497	
117	1580406961.422745335	-1.23212	21.8962	-9.37864	1.28653	2.22835	-2.68501	
118	1580406961.430763984	-3.27356	22.3812	-9.07439	0.977794	2.03412	-2.546	
119	1580406961.438682228	-2.55979	22.1176	-9.38877	1.23506	1.98203	-2.53718	
120	1580406961.447161981	-2.4478	22.0982	-9.42801	1.15788	2.00182	-2.52008	
121	1580406961.454719705	-3.27127	21.7001	-8.6172	1.20933	1.99763	-2.3814	
122	1580406961.462695452	-2.54521	22.2406	-9.36372	1.18361	2.01112	-2.64906	
123	1580406961.470748500	-2.10726	22.0374	-9.70377	1.2608	2.02302	-2.51264	
124	1580406961.478775866	-2.84959	22.745	-9.56832	1.02925	1.93242	-2.63302	
125	1580406961.486740599	-0.996289	22.4337	-9.60083	1.10644	2.44678	-2.89943	
126	1580406961.494712285	-2.28646	22.0697	-9.31764	1.15789	1.95853	-2.60102	
127	1580406961.502690539	-2.18146	21.6281	-9.01508	1.05497	2.11246	-2.60359	
128	1580406961.510820129	-2.53273	22.1361	-9.21128	1.10644	2.11297	-2.63254	
129	1580406961.518702285	-1.9604	21.5722	-8.87607	1.28653	2.22209	-2.62527	
130	1580406961.526770565	-3.11835	22.7852	-9.41708	1.08071	1.91106	-2.58801	
131	1580406961.534713045	-2.49623	22.2924	-9.78816	0.952062	1.9843	-2.54686	
132	1580406961.542702693	-2.21622	22.357	-9.89184	1.20934	1.9212	-2.66477	
133	1580406961.550711562	-2.08075	22.1188	-9.54785	1.15788	2.02392	-2.59793	
134	1580406961.558734774	-2.18738	21.7895	-9.05248	1.15788	2.08403	-2.66127	
135	1580406961.566721036	-1.75653	21.6236	-9.30199	1.05498	2.079	-2.57067	
136	1580406961.574734388	-2.09395	22.5034	-9.59821	1.00352	2.01787	-2.63252	
137	1580406961.582761004	-1.46421	21.8952	-9.68536	1.0035	2.01549	-2.66523	
138	1580406961.590764291	-3.38537	22.9888	-8.98812	1.1836	2.00187	-2.55058	
139	1580406961.598721656	-1.53675	22.9299	-9.35421	1.10642	2.27041	-2.83153	
140	1580406961.606773210	-2.32507	21.5477	-9.06577	1.00352	2.14618	-2.44718	
141	1580406961.614736496	-1.96422	21.0537	-9.04496	1.13215	2.10621	-2.46321	
142	1580406961.622672559	-1.76619	22.1661	-9.49824	1.15788	2.08456	-2.57732	
143	1580406961.630709536	-1.56424	21.8742	-9.47508	1.18359	2.11142	-2.64985	
144	1580406961.638709316	-2.77086	22.4909	-8.97392	1.10643	2.05643	-2.50652	
145	1580406961.646723427	-2.62397	21.8693	-9.55032	1.0807	2.04699	-2.50278	
146	1580406961.654742575	-2.44416	21.34	-8.79078	1.10643	2.14743	-2.44286	
147	1580406961.662696953	-1.22013	22.4926	-10.196	0.926328	2.15306	-2.5977	
148	1580406961.670778173	-2.31763	22.1648	-9.19786	1.23506	2.06918	-2.52404	
149	1580406961.678746506	-2.03059	21.736	-9.1445	1.20933	2.25912	-2.41918	
150	1580406961.686735402	-1.69745	20.9312	-8.82142	1.23507	2.15762	-2.41254	
151	1580406961.694693346	-2.01941	20.923	-8.7803	1.05497	2.10431	-2.43621	
152	1580406961.702759015	-2.92084	21.8813	-9.20133	1.10643	1.99119	-2.39666	
153	1580406961.710753607	-1.57846	21.5523	-9.07732	1.13217	2.22038	-2.49059	
154	1580406961.718716313	-2.71853	22.1008	-9.19958	0.926338	2.02385	-2.40702	
155	1580406961.726684200	-2.7072	22.0375	-9.63795	0.952046	1.89789	-2.40929	
156	1580406961.734765396	-2.45089	22.3702	-9.26387	1.02924	2.10314	-2.53742	
157	1580406961.742724775	-1.63763	22.1944	-9.52228	1.13215	2.19406	-2.55817	
158	1580406961.750681281	-2.77878	22.3305	-9.09636	0.926324	2.09772	-2.4934	
159	1580406961.758694223	-2.34019	22.3087	-9.59248	1.10642	1.97291	-2.58857	
160	1580406961.766706692	-2.73426	21.9608	-9.22362	1.05497	1.97573	-2.56736	
161	1580406961.774758584	-2.96377	23.0245	-9.62164	1.13215	2.01419	-2.48042	
162	1580406961.782749414	-2.39129	22.2563	-9.17098	1.13216	2.0727	-2.56166	
163	1580406961.790739308	-1.96431	21.8291	-9.41937	1.02924	2.00499	-2.41113	
164	1580406961.798844679	-2.67628	20.5794	-8.61508	1.10642	2.0037	-2.31	
165	1580406961.806734616	-1.9139	22.7134	-9.79836	1.00352	2.00905	-2.62891	
166	1580406961.814748736	-1.37041	21.9482	-9.55609	1.10642	2.26291	-2.51943	
167	1580406961.822705624	-2.63894	21.5806	-9.09598	1.31225	1.97203	-2.43794	
168	1580406961.830810511	-1.82241	22.0407	-9.82651	1.13215	2.00721	-2.53885	
169	1580406961.838761655	-3.34511	21.9087	-8.92223	1.15791	1.90867	-2.39442	
170	1580406961.846679686	-2.51504	22.2478	-9.16561	1.00351	2.04064	-2.6846	
171	1580406961.854735252	-2.7019	22.0818	-9.41134	1.10642	1.90799	-2.57813	
172	1580406961.862753336	-2.65159	21.9811	-9.48465	1.05497	1.95148	-2.5406	
173	1580406961.870684250	-2.72354	21.7921	-9.29616	1.10643	2.0069	-2.48787	
174	1580406961.878682609	-1.94843	21.8814	-9.21792	1.23506	2.19169	-2.65438	
175	1580406961.886735654	-2.2757	21.8733	-9.05134	1.1836	2.15656	-2.42548	
176	1580406961.894790915	-2.29529	21.9222	-9.07043	1.0807	2.00481	-2.54381	
177	1580406961.902736534	-2.41965	22.6451	-9.60337	1.13216	2.11273	-2.64297	
178	1580406961.910735627	-2.00581	22.2979	-8.9514	1.0807	2.23967	-2.73456	
179	1580406961.918686959	-1.84971	21.8896	-9.35396	1.02925	2.04797	-2.52344	
180	1580406961.926796266	-2.46741	22.1563	-8.60654	1.18362	2.15079	-2.68112	
181	1580406961.934752648	-2.08021	21.9385	-9.70924	0.900619	1.94679	-2.54579	
182	1580406961.942685239	-2.75994	22.2089	-8.9776	0.977784	2.0079	-2.56702	
183	1580406961.950706247	-2.50364	23.3266	-9.62093	0.977779	1.99522	-2.6967	
184	1580406961.958764272	-2.86489	22.1272	-8.94226	0.900615	2.00065	-2.55361	
185	1580406961.966699057	-2.10407	21.454	-9.16209	1.20934	2.03718	-2.66623	
186	1580406961.974707818	-2.49784	21.6189	-8.75765	1.1836	2.08772	-2.51825	
187	1580406961.982687655	-0.988096	22.0221	-9.60291	0.977787	2.21497	-2.64379	
188	1580406961.990724172	-2.67075	22.1821	-9.37577	1.00351	1.95958	-2.558	
189	1580406961.998744533	-1.48797	22.7556	-9.91346	0.926334	2.15689	-2.6947	
190	1580406962.006747697	-2.12026	21.6962	-9.0262	1.28652	2.07267	-2.64468	
191	1580406962.014704106	-3.21499	21.5046	-8.80794	1.08071	1.96951	-2.44285	
192	1580406962.022834104	-2.93253	22.166	-8.93161	1.15788	1.97907	-2.62965	
193	1580406962.030762939	-2.69234	21.6643	-8.42999	0.977777	2.09423	-2.56576	
194	1580406962.038691579	-2.62397	21.9087	-9.24148	1.20933	1.98527	-2.56883	
195	1580406962.046703818	-2.38113	21.3705	-8.72202	1.26079	2.06597	-2.56645	
196	1580406962.054727640	-2.43446	21.4144	-8.94133	1.13216	2.09781	-2.51475	
197	1580406962.062728188	-1.95394	22.877	-9.97763	0.900608	1.96776	-2.62988	
198	1580406962.070745575	-2.39262	22.3838	-9.77934	0.977791	1.98327	-2.58283	
199	1580406962.078739685	-1.88186	21.1718	-8.77709	1.13217	2.09032	-2.56499	
200	1580406962.086762903	-2.47959	21.8486	-9.16761	1.00352	2.06383	-2.5188	
201	1580406962.094738727	-2.62951	22.1577	-9.32973	1.10643	2.00107	-2.54852	
202	1580406962.102775451	-1.1762	21.5285	-9.72173	1.10642	2.17293	-2.60924	
203	1580406962.110732317	-2.1303	21.6533	-9.21656	1.0807	2.10757	-2.64231	
204	1580406962.118842553	-2.37786	22.4999	-9.21282	1.05496	2.08305	-2.70615	
205	1580406962.126762255	-2.16097	21.9799	-9.22226	0.977793	2.02961	-2.65666	
206	1580406962.134697533	-2.90355	22.8566	-9.18556	0.952069	2.02806	-2.62082	
207	1580406962.142712683	-2.71348	21.7967	-8.76255	1.15787	2.06545	-2.52197	
208	1580406962.150698290	-1.65729	22.6233	-9.48771	1.13215	2.13409	-2.70405	
209	1580406962.158704281	-2.87064	21.4386	-8.75424	1.20935	2.00458	-2.36845	
210	1580406962.166736875	-2.61226	22.0101	-9.46869	1.18361	1.9655	-2.57889	
211	1580406962.174727831	-2.63655	22.1581	-8.90622	1.10643	2.07692	-2.62654	
212	1580406962.182780494	-2.07744	20.9763	-8.89807	1.10643	2.04713	-2.55704	
213	1580406962.190780150	-2.14627	23.026	-9.39336	1.10641	2.10955	-2.63674	
214	1580406962.198779856	-2.7871	21.438	-8.73949	1.0807	2.05562	-2.39668	
215	1580406962.206702804	-2.5944	22.2346	-9.22929	1.18361	2.01003	-2.6123	
216	1580406962.214777811	-2.08673	21.154	-8.83157	1.1836	2.08916	-2.50846	
217	1580406962.222756062	-3.0191	21.5943	-9.40174	1.15787	1.7605	-2.33466	
218	1580406962.230696799	-2.26097	21.314	-8.9599	1.10643	2.15406	-2.39608	
219	1580406962.238737056	-2.53006	21.733	-8.90247	1.05497	1.94684	-2.45592	
220	1580406962.246732866	-2.72659	23.0585	-9.3749	1.02925	1.99562	-2.65933	
