seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	DDq0	DDq1	DDq2	DDq3	DDq4	DDq5	
43	1573229628.590661648	-1.24353	-2.11406	-1.72625	-1.57453	0.59725	0.728814	0.0168866	0.0171806	0.0155571	0.0151481	0.0167971	0.0163369	0.372374	68.5732	31.0013	2.13585	-0.730056	0.107525	0.0223704	0.0703074	-0.346744	-0.206129	0.115049	-0.230097	
44	1573229628.598708952	-1.24341	-2.11394	-1.7261	-1.57435	0.597334	0.728898	0.0154676	0.0173595	0.0177558	0.0157808	0.0176216	0.0163561	-0.659707	68.1886	30.7711	2.41912	-0.487594	0.290601	-0.177366	0.0223706	0.274838	0.0790958	0.103064	0.00239676	
45	1573229628.606701945	-1.24326	-2.11377	-1.726	-1.57426	0.597442	0.729042	0.0170783	0.0172956	0.0179987	0.0166437	0.0170847	0.0159917	0.360316	68.2707	30.7043	2.06364	-0.59774	0.251761	0.201335	-0.00798935	0.03036	0.107858	-0.0671116	-0.04554	
46	1573229628.614668894	-1.24315	-2.11364	-1.72582	-1.57409	0.597622	0.729174	0.0171039	0.0176152	0.0151353	0.0171422	0.0178517	0.0165095	0.201305	68.8019	31.1896	2.19687	-0.660114	0.183039	0.00319583	0.0399475	-0.357929	0.0623181	0.0958736	0.0647148	
47	1573229628.622655518	-1.24302	-2.11351	-1.72575	-1.57396	0.597754	0.729318	0.0177303	0.0171678	0.0189191	0.0176024	0.0161835	0.0169121	-0.166451	67.9393	30.4541	2.19267	-0.551517	0.322974	0.078297	-0.0559264	0.472978	0.0575243	-0.208525	0.0503338	
48	1573229628.630656833	-1.24287	-2.11336	-1.72561	-1.57382	0.597897	0.729449	0.0165031	0.0178325	0.0162858	0.0174107	0.0174874	0.0160684	-0.151162	68.6939	31.2054	2.29838	-0.652395	0.154999	-0.153398	0.0830905	-0.329167	-0.0239685	0.162985	-0.105461	
49	1573229628.638647054	-1.24274	-2.11323	-1.72544	-1.57365	0.598041	0.729605	0.0174235	0.0174618	0.0174874	0.0163369	0.0162027	0.0172381	0.269211	68.2914	30.7064	2.14221	-0.683861	0.238842	0.115049	-0.0463389	0.150202	-0.134223	-0.160588	0.146208	
50	1573229628.646644986	-1.24259	-2.11309	-1.72531	-1.57352	0.598185	0.729737	0.0173084	0.0181905	0.0178325	0.0180243	0.0178517	0.0190022	-0.250986	68.2039	30.9069	2.36215	-0.453664	0.317479	-0.014381	0.0910801	0.0431433	0.210922	0.206128	0.22051	
51	1573229628.654649189	-1.24243	-2.11292	-1.7252	-1.57339	0.598281	0.729892	0.0172573	0.0177686	0.017449	0.0173532	0.0167396	0.0165862	0.0957209	68.5701	30.9176	2.10498	-0.723277	0.151156	-0.00639167	-0.0527308	-0.0479368	-0.0838896	-0.139017	-0.302003	
52	1573229628.662659150	-1.24231	-2.11281	-1.72502	-1.57324	0.598425	0.730012	0.01704	0.0170655	0.0172189	0.0172573	0.01766	0.0146687	0.0246193	68.7824	31.0641	2.21214	-0.627427	0.16896	-0.0271644	-0.0878843	-0.0287623	-0.0119843	0.115049	-0.239684	
53	1573229628.670661134	-1.24216	-2.11266	-1.72491	-1.57309	0.598593	0.730156	0.0168866	0.0176408	0.014918	0.0170847	0.0176791	0.0175449	0.14112	68.6264	31.1708	2.25958	-0.687504	0.219696	-0.0191748	0.0719053	-0.287621	-0.0215715	0.00239676	0.359527	
54	1573229628.678674292	-1.24201	-2.11254	-1.72476	-1.57299	0.598689	0.730252	0.0158639	0.0175129	0.0187273	0.0169888	0.0169505	0.0153782	-0.624531	67.8929	30.559	2.31211	-0.534043	0.272722	-0.127832	-0.0159789	0.476173	-0.0119843	-0.0910801	-0.270843	
55	1573229628.686657587	-1.24188	-2.11238	-1.72463	-1.57285	0.598821	0.730407	0.0169121	0.0177047	0.0149947	0.0162602	0.0169888	0.0175449	0.681012	68.8821	31.2636	2.10742	-0.769212	0.157716	0.131028	0.0239685	-0.466586	-0.0910801	0.00479375	0.270843	
56	1573229628.694680048	-1.24176	-2.11227	-1.72443	-1.57269	0.599024	0.730563	0.0162218	0.0177942	0.0172062	0.0171039	0.0178709	0.0175449	-0.465452	68.1494	30.8139	2.37108	-0.479709	0.296239	-0.0862863	0.0111852	0.276436	0.105461	0.110255	0	
