seq	time	fx	fy	fz	tx	ty	tz	
39	1580482312.368744982	26.0566	-1.11333	-9.95716	0.176152	-5.23759	3.29405	
40	1580482312.376709651	25.3404	-1.35294	-9.61854	0.253346	-5.42238	3.29679	
41	1580482312.384704023	24.775	-2.0806	-9.22646	0.201882	-5.50066	3.34381	
42	1580482312.392839386	25.581	-1.43255	-9.66972	0.407711	-5.40738	3.37834	
43	1580482312.400720091	24.7436	-0.96394	-9.32667	0.12472	-5.38954	3.31463	
44	1580482312.408666070	25.4034	-0.496917	-9.59908	0.227616	-5.50003	3.06374	
45	1580482312.416684190	24.7027	-1.1864	-9.97017	0.201901	-5.54406	3.41798	
46	1580482312.424724936	24.7693	-1.74367	-9.41761	0.279063	-5.44523	3.4419	
47	1580482312.432687319	24.633	-1.84846	-8.98315	0.201898	-5.39447	3.50229	
48	1580482312.440703785	25.411	-1.96239	-9.08689	0.279054	-5.33719	3.30409	
49	1580482312.448669259	26.1604	-2.51434	-9.55985	0.201874	-5.37617	3.38068	
50	1580482312.456703361	25.1834	-1.89408	-9.72096	0.0732554	-5.51383	3.33632	
51	1580482312.464674097	24.8413	-0.786929	-9.57883	0.253343	-5.37399	3.24725	
52	1580482312.472698684	25.18	-2.03849	-9.37722	0.176168	-5.44468	3.27159	
53	1580482312.480707801	26.2563	-0.988544	-10.6354	0.124695	-5.41186	3.23233	
54	1580482312.488697156	25.0728	-1.37726	-9.89619	0.201873	-5.57087	3.48295	
55	1580482312.496700436	25.4738	-0.889809	-9.4641	0.227613	-5.29978	3.22066	
56	1580482312.504702265	25.6598	-1.29193	-10.2805	0.176165	-5.3685	3.22576	
57	1580482312.512668834	25.2277	-0.914073	-9.76669	0.22762	-5.47196	3.21962	
58	1580482312.520875975	24.0358	-0.979072	-9.91561	0.253341	-5.62604	3.30593	
59	1580482312.528714288	25.3075	-1.56503	-9.84462	0.253338	-5.55384	3.32251	
60	1580482312.536702887	25.5453	-0.746295	-10.1081	0.0475227	-5.38102	3.24876	
61	1580482312.544738767	25.6582	-1.40739	-10.3525	0.201895	-5.55324	3.30917	
62	1580482312.552695875	25.3218	-1.16732	-9.98152	0.253348	-5.53972	3.18495	
63	1580482312.560682220	24.8942	-0.852746	-10.1394	0.150423	-5.58498	3.20223	
64	1580482312.568700053	24.5239	-0.989962	-9.42223	0.227609	-5.50714	3.32187	
65	1580482312.576700157	25.3837	-1.50811	-10.0282	0.20188	-5.50479	3.22287	
66	1580482312.584728268	23.961	-2.0594	-9.42666	0.227611	-5.63007	3.43349	
67	1580482312.592704480	25.6438	-2.3216	-9.14222	0.0989774	-5.29467	3.36676	
68	1580482312.600690589	24.4588	-1.09447	-9.38942	0.227609	-5.5021	3.30213	
69	1580482312.608707753	24.8605	-0.818315	-9.23949	0.227613	-5.43577	3.27492	
70	1580482312.616716150	24.4853	-1.09045	-9.72393	0.20188	-5.50591	3.34306	
71	1580482312.624675396	25.4927	-2.40636	-9.2981	0.201881	-5.32789	3.32852	
72	1580482312.632702998	25.0916	-0.407019	-9.73949	0.253333	-5.34282	3.18623	
73	1580482312.640693961	25.8368	-0.424959	-10.7173	0.20187	-5.51518	3.20637	
74	1580482312.648770535	25.4672	-2.00025	-9.46062	0.253337	-5.4442	3.26336	
75	1580482312.656677487	24.6474	-0.744506	-9.77701	0.20189	-5.53971	3.27055	
76	1580482312.664701318	25.2278	-1.02332	-9.76522	0.150432	-5.33161	3.23536	
77	1580482312.672632952	24.9429	-0.503179	-10.4047	0.253347	-5.65038	3.27867	
78	1580482312.680634881	25.4886	-0.437019	-10.4099	0.15043	-5.50956	3.24894	
79	1580482312.688609534	25.1505	-0.920196	-9.88322	0.176154	-5.495	3.31298	
80	1580482312.696663641	25.0624	-1.49748	-9.45811	0.20189	-5.49394	3.41621	
81	1580482312.704655356	24.9112	-1.4247	-9.50123	0.279076	-5.43023	3.3709	
82	1580482312.712663524	24.9171	-1.28797	-9.61919	0.150421	-5.59307	3.33127	
83	1580482312.720656039	26.1605	-1.18895	-10.3718	0.150434	-5.42638	3.30122	
84	1580482312.728670151	24.0792	-1.75027	-8.95735	0.227615	-5.57104	3.45305	
85	1580482312.736669218	25.7418	-1.75142	-10.2075	0.176159	-5.37437	3.27517	
86	1580482312.744680719	25.106	-2.25611	-9.25598	0.279072	-5.56129	3.42137	
87	1580482312.752671866	25.8329	-0.60854	-10.152	0.227618	-5.33914	3.15277	
88	1580482312.760692777	23.6835	-0.574772	-9.2554	0.227616	-5.53073	3.36318	
89	1580482312.768696427	25.8048	-0.962267	-9.56173	0.150425	-5.27542	3.20869	
90	1580482312.776734609	25.7806	-1.69492	-9.81205	0.201883	-5.47041	3.31711	
91	1580482312.784677623	25.2471	-1.57567	-9.66239	0.279069	-5.4113	3.36568	
92	1580482312.792705848	25.1617	-0.487215	-10.0372	0.150435	-5.44602	3.23685	
93	1580482312.800708230	25.1021	-0.853533	-9.85849	0.356256	-5.45135	3.1978	
94	1580482312.808771909	25.3698	-0.594598	-9.90359	0.20189	-5.44958	3.17027	
95	1580482312.816725517	25.6459	-0.426675	-10.345	0.176163	-5.33824	3.06828	
96	1580482312.824693723	25.8792	-0.778226	-10.0669	0.356261	-5.4217	3.19119	
97	1580482312.832698707	24.5878	-0.330133	-10.3567	0.253344	-5.64027	3.25944	
98	1580482312.840762177	25.3966	-2.58022	-9.30648	0.150423	-5.45423	3.38747	
99	1580482312.848732871	24.2926	-1.13543	-9.07947	0.330513	-5.49865	3.34863	
100	1580482312.856708142	24.9798	-0.937707	-10.1277	0.201877	-5.48503	3.26724	
101	1580482312.864726677	24.9464	-1.56748	-9.86467	0.17617	-5.49698	3.31771	
102	1580482312.872731961	25.5434	-1.3375	-9.49863	0.0989744	-5.41564	3.24086	
103	1580482312.880693935	25.2011	-1.34499	-9.7183	0.201886	-5.45411	3.33736	
104	1580482312.888694372	26.4528	-2.12763	-9.7502	0.253341	-5.32288	3.30444	
105	1580482312.896708740	25.2299	-1.08757	-9.97961	-0.0553895	-5.49237	3.37873	
106	1580482312.904684436	24.5535	-1.04416	-9.2491	0.407721	-5.45496	3.33475	
107	1580482312.912688464	25.5474	-1.60369	-9.34429	0.176151	-5.36427	3.32959	
108	1580482312.920702847	24.9277	-1.41952	-9.40005	0.25335	-5.54631	3.24283	
109	1580482312.928670524	24.9735	-1.50762	-9.69421	0.227611	-5.47016	3.27731	
