seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	DDq0	DDq1	DDq2	DDq3	DDq4	DDq5	
26	1580482312.264698709	0.00240508	-0.895042	2.13238	-2.79043	-1.56952	-2.62333	0	0	-0	0	0	0	0	-61.6889	-15.0672	-2.79943	0.406885	-0.0039249	0	0	0	0	0	0	
27	1580482312.272698587	0.00238112	-0.895066	2.1324	-2.79044	-1.56951	-2.62331	0	0	-0	0	0	0	0	-61.688	-15.0677	-2.79947	0.4069	-0.00391772	0	0	0	0	0	0	
28	1580482312.280673643	0.0023931	-0.895054	2.13236	-2.79044	-1.56956	-2.62327	0	0	-0	0	0	0	0	-61.6896	-15.0686	-2.7995	0.40686	-0.00391924	0	0	0	0	0	0	
29	1580482312.288668234	0.00238112	-0.895089	2.13235	-2.79041	-1.56954	-2.62331	0	0	-0	0	0	0	0	-61.6893	-15.0703	-2.79953	0.406878	-0.00391022	0	0	0	0	0	0	
30	1580482312.296674280	0.00238112	-0.895078	2.13235	-2.79043	-1.56954	-2.62332	0	0	-0	0	0	0	0	-61.6895	-15.0698	-2.79952	0.406876	-0.00391007	0	0	0	0	0	0	
31	1580482312.304669129	0.00241707	-0.895066	2.13237	-2.79043	-1.56952	-2.62331	0	0	-0	0	0	0	0	-61.6889	-15.0685	-2.79948	0.406889	-0.00391668	0	0	0	0	0	0	
32	1580482312.312672740	0.0023931	-0.895054	2.13235	-2.79044	-1.56952	-2.62327	0	0	-0	0	0	0	0	-61.69	-15.069	-2.79952	0.406894	-0.00391125	0	0	0	0	0	0	
33	1580482312.320693813	0.00238112	-0.895066	2.13235	-2.79043	-1.56952	-2.62327	0	0	-0	0	0	0	0	-61.6898	-15.0694	-2.79952	0.406894	-0.00391125	0	0	0	0	0	0	
34	1580482312.328723097	0.0023931	-0.895078	2.13241	-2.79044	-1.56952	-2.6233	0	0	-0	0	0	0	0	-61.6874	-15.0677	-2.79947	0.40689	-0.00391948	0	0	0	0	0	0	
35	1580482312.336690503	0.00236913	-0.895102	2.13236	-2.79045	-1.56956	-2.62325	0	0	-0	0	0	0	0	-61.6886	-15.0703	-2.79959	0.406864	-0.00390538	0	0	0	0	0	0	
36	1580482312.344690082	0.0023931	-0.895066	2.13236	-2.7904	-1.56954	-2.62327	0	0	-0	0	0	0	0	-61.6893	-15.0689	-2.79947	0.406883	-0.00392137	0	0	0	0	0	0	
37	1580482312.352676028	0.0023931	-0.895042	2.13242	-2.79043	-1.56955	-2.6233	0	0	-0	0	0	0	0	-61.6876	-15.0659	-2.79939	0.406868	-0.00393684	0	0	0	0	0	0	
38	1580482312.360752229	0.0023931	-0.895089	2.13238	-2.79041	-1.56952	-2.62332	0	0	-0	0	0	0	0	-61.688	-15.069	-2.79948	0.406887	-0.00391676	0	0	0	0	0	0	
39	1580482312.368744982	0.00240508	-0.895078	2.13238	-2.79041	-1.56955	-2.62327	0	0	-0	0	0	0	0	-61.6882	-15.0685	-2.79947	0.406871	-0.00392309	0	0	0	0	0	0	
